"id","category","question","answer","tags","last_updated"
"86","transport","How long does it take to get from Singapore to JB clinics?","Travel time varies by transport and traffic. Off-peak, expect 45–60 minutes from central Singapore to most JB clinics; peak hours can double this.","duration|journey|travel_time|how_long|clinic_access","2025-11-21"
"87","transport","How much time should I allow for travel to JB?","Allow at least 1 hour off-peak; add 30–60 minutes buffer during peak or weekends.","duration|buffer|how_long|timing|journey","2025-11-21"
"88","transport","What is the fastest way to get to JB?","Taxi/Grab is fastest but more expensive; bus is cheaper but slower. MRT/bus to Woodlands/Kranji then cross-border bus is common.","fastest|mode|public_transport|taxi|bus|mrt|route","2025-11-21"
"89","transport","Which public transport is best for JB?","Cross-border buses (160, 170, 950, CW) are reliable; Shuttle Tebrau train is quick if tickets are available. MRT to Woodlands/Kranji then bus is common.","public_transport|bus|train|mrt|best|route","2025-11-21"
"90","clinic_travel","How do I get from Johor CIQ to my clinic?","Most clinics are 10–25 minutes by taxi/Grab from CIQ. Some are walkable; check your clinic’s address and use navigation apps.","ciq|clinic_access|taxi|grab|walk|distance|route","2025-11-21"
"91","clinic_travel","How do I get from CIQ to Mount Austin?","Taxi/Grab is easiest; expect 20–30 minutes off-peak. Buses are available but less direct.","ciq|mount_austin|taxi|grab|bus|route|clinic_access","2025-11-21"
"92","clinic_travel","How do I get from CIQ to Bukit Indah?","Taxi/Grab is fastest; bus options exist but may require transfers. Plan for 20–30 minutes off-peak.","ciq|bukit_indah|taxi|grab|bus|route|clinic_access","2025-11-21"
"93","clinic_travel","How do I get from CIQ to Molek or Skudai?","Taxi/Grab is recommended; bus routes are available but less direct. Travel time 20–40 minutes off-peak.","ciq|molek|skudai|taxi|grab|bus|route|clinic_access","2025-11-21"
"94","clinic_travel","How do I get from CIQ to City Square?","City Square Mall is directly across from CIQ; walkable in 5 minutes.","ciq|city_square|walk|distance|route|clinic_access","2025-11-21"
"95","transport","How do I get from Singapore to JB by public transport?","MRT to Woodlands/Kranji then cross-border bus (160, 170, 950, CW) to Johor CIQ. Follow signs for immigration and onward travel.","public_transport|bus|mrt|route|singapore|jb|ciq","2025-11-21"
"96","timing","What day of the week is best for travel to JB?","Weekdays (Tuesday–Thursday) are usually less crowded than weekends. Avoid Friday evenings and Sunday late afternoons for return.","weekday|weekend|best_day|timing|crowd|avoid|top10","2025-11-21"
"97","clinic_travel","How do I get from CIQ to any township or clinic in JB?","Most townships and clinics in JB are accessible by taxi/Grab from CIQ. Travel times range from 10 to 45 minutes depending on distance and traffic. For rare or less-known areas, check your clinic’s address and use navigation apps for the best route.","ciq|township|clinic_access|taxi|grab|navigation|route|distance|generic","2025-11-21"
